face_id,timestamp,cleaned_r,cleaned_g,cleaned_b,cleaned_rppg
1,1781859843.497706,-0.03147127,-0.02861885,-0.01461638,-0.03276897
1,1781859843.532707,0.40436620,0.46283100,0.32370624,0.58069724
1,1781859843.596813,1.16534357,1.36799974,0.97100645,1.76231369
1,1781859843.658928,1.68521379,2.01735425,1.42937987,2.70413152
1,1781859843.743835,1.91352302,2.21026854,1.45659375,3.08708708
1,1781859843.804391,1.69939063,1.81110475,0.98499776,2.75616853
1,1781859843.868792,1.00054027,0.95708069,0.28055006,1.86053663
1,1781859843.934811,0.19696200,0.09147525,-0.22339751,0.61536588
1,1781859843.999380,-0.23040569,-0.40335871,-0.30636188,-0.79335738
1,1781859844.061367,-0.25673440,-0.53126547,-0.13690971,-1.96579585
1,1781859844.143174,-0.17547506,-0.49443148,0.00952854,-2.41847447
1,1781859844.209457,-0.12887060,-0.40371255,0.05770502,-2.16379791
1,1781859844.266217,-0.15869809,-0.35848678,0.01637555,-1.68884562
1,1781859844.334023,-0.41172559,-0.50342020,-0.19821815,-1.16644218
1,1781859844.396550,-0.88779315,-0.78225057,-0.58413171,-0.27207305
1,1781859844.456822,-1.24137256,-0.91249885,-0.88965512,0.89939348
1,1781859844.537167,-1.16161959,-0.75723505,-0.86121003,1.49402110
1,1781859844.603369,-0.74319509,-0.46121155,-0.54276739,1.06840824
1,1781859844.672480,-0.27813742,-0.17118377,-0.16276524,0.28958552
1,1781859844.737236,0.06666158,0.08272848,0.15008667,-0.15074033
1,1781859844.798707,0.22588897,0.24311865,0.36765010,-0.31534988
1,1781859844.861988,0.20937333,0.27965682,0.43128004,-0.23904985
1,1781859844.940151,0.20557656,0.32294216,0.33682031,0.30413994
1,1781859845.005190,0.38210622,0.45122792,0.22521995,0.86735848
1,1781859845.065431,0.57856995,0.49584913,0.20229938,0.61960650
1,1781859845.131769,0.54487048,0.33622468,0.20509481,-0.22781205
1,1781859845.201629,0.36811567,0.15600240,0.16886079,-0.66117066
1,1781859845.263946,0.28835668,0.13891842,0.13550563,-0.42915523
1,1781859845.342885,0.26875585,0.16631474,0.10489916,-0.12057019
1,1781859845.406956,0.11708752,0.05074843,-0.00682317,-0.02576679
1,1781859845.470408,-0.12954198,-0.15647367,-0.18170258,-0.00500433
1,1781859845.534981,-0.25462494,-0.27133654,-0.26654163,-0.06320564
1,1781859845.600256,-0.18933639,-0.22525754,-0.18908668,-0.21187167
1,1781859845.662845,-0.06221724,-0.09419603,-0.05044462,-0.22256397
1,1781859845.738217,0.00633580,0.00527397,0.03488563,-0.09014652
1,1781859845.806263,-0.01667867,-0.00774698,0.04210395,-0.12025785
1,1781859845.871694,-0.13573631,-0.11039455,-0.02762438,-0.16877670
1,1781859845.934037,-0.27832679,-0.15773254,-0.12672757,0.26329452
1,1781859845.998643,-0.25113563,-0.02831747,-0.08317223,0.81605474
1,1781859846.063952,0.02522204,0.19165880,0.20423694,0.45217609
1,1781859846.146354,0.27627019,0.25988536,0.48268817,-0.70295008
1,1781859846.207083,0.12774272,0.03824916,0.35699380,-1.19977394
1,1781859846.273202,-0.39942139,-0.36067603,-0.17457637,-0.43306052
1,1781859846.336321,-0.89289633,-0.70291614,-0.68496736,0.50558422
1,1781859846.400059,-1.05063156,-0.85384733,-0.85145304,0.57129384
1,1781859846.462435,-0.92829765,-0.82849006,-0.74329361,0.04294079
1,1781859846.538752,-0.68447379,-0.67074568,-0.55395269,-0.30289802
1,1781859846.609051,-0.35944648,-0.39429964,-0.33923864,-0.26424935
1,1781859846.674823,0.04826916,-0.04868805,-0.09683671,-0.14344376
1,1781859846.735507,0.52474781,0.30067715,0.14446043,-0.19941641
